Original_URL,Resolved_Platform,Track_Title,Artist_Name,Local_File,Lcrosvila_P_AI,Lcrosvila_P_Human,Lcrosvila_Prediction,Mippia_P_AI,Mippia_P_Human,Mippia_Prediction,Status,Error
https://open.spotify.com/track/4014FR3wY4V3s8hgDVSak7?si=b291b1d03ef84f4a,www.youtube.com,黄昏のBAY CITY,Junko Yagami,QLHMhVonF-s.wav,0.3176,0.6824,Human,0.011,0.989,Human,OK,
https://www.youtube.com/watch?v=LjhCEhWiKXk&list=RDLjhCEhWiKXk&start_radio=1,youtube.com,Bruno Mars - Just The Way You Are (Official Music Video),Bruno Mars,LjhCEhWiKXk.wav,0.1649,0.8351,Human,0.011,0.989,Human,OK,
https://www.youtube.com/watch?v=hwd0Cjt6UyU&list=RDhwd0Cjt6UyU&start_radio=1,youtube.com,"Justin Bieber’s Greatest Hits – One Video, All the Vibes",RawVox,hwd0Cjt6UyU.wav,0.0531,0.9469,Human,0.011,0.989,Human,OK,
https://open.spotify.com/track/6YxWkNIvOVxUE3L21Ga9yt?si=1f0cca5ce9894358,www.youtube.com,學不會,JJ Lin,29E0eD9noGg.wav,0.3796,0.6204,Human,0.011,0.989,Human,OK,
https://www.youtube.com/watch?v=x3bfa3DZ8JM&list=RDx3bfa3DZ8JM&start_radio=1,youtube.com,Khalid - Better (Official Video),Khalid,x3bfa3DZ8JM.wav,0.615,0.385,AI,0.011,0.989,Human,OK,
https://open.spotify.com/track/6MEDfjHxnVNcYmHe3mM6L2?si=4b6975a064c2499d,www.youtube.com,Sweet Life,Frank Ocean,y14F2RQW7h4.wav,0.0369,0.9631,Human,0.011,0.989,Human,OK,
https://open.spotify.com/track/73CKjW3vsUXRpy3NnX4H7F?si=052acffaf05c4a4f,www.youtube.com,Fake Plastic Trees,Radiohead,6gDhsUWCHrg.wav,0.425,0.575,Human,0.011,0.989,Human,OK,
https://www.youtube.com/watch?v=XXYlFuWEuKI&list=RDXXYlFuWEuKI&start_radio=1,youtube.com,The Weeknd - Save Your Tears (Official Music Video),The Weeknd,XXYlFuWEuKI.wav,0.1825,0.8175,Human,0.011,0.989,Human,OK,
